,Epoch,Trainset Loss,Testset Loss,Trainset Accuracy,Testset Accuracy,Trainset Classwise Accuracy,Testset Classwise Accuracy
33,34,2.0133694055439264,378.9210125505924,99.992,74.31,"{'plane': 99.98, 'car': 99.98, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 99.98, 'truck': 99.98}","{'plane': 78.8, 'car': 87.7, 'bird': 61.4, 'cat': 53.400000000000006, 'deer': 67.30000000000001, 'dog': 61.9, 'frog': 83.3, 'horse': 77.9, 'ship': 87.5, 'truck': 83.89999999999999}"
34,35,2.0589948945707874,377.1343952715397,99.996,74.42,"{'plane': 100.0, 'car': 99.98, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 99.98, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 79.5, 'car': 88.2, 'bird': 60.8, 'cat': 55.900000000000006, 'deer': 66.60000000000001, 'dog': 64.2, 'frog': 82.8, 'horse': 77.0, 'ship': 86.2, 'truck': 83.0}"
35,36,2.2717716575207305,377.12475360929966,99.992,74.4,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 99.94, 'frog': 100.0, 'horse': 99.98, 'ship': 100.0, 'truck': 100.0}","{'plane': 78.60000000000001, 'car': 88.3, 'bird': 61.5, 'cat': 52.5, 'deer': 69.69999999999999, 'dog': 65.9, 'frog': 81.5, 'horse': 75.6, 'ship': 85.8, 'truck': 84.6}"
36,37,1.962744273525459,372.9612047076225,99.998,74.39,"{'plane': 100.0, 'car': 99.98, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 79.0, 'car': 88.6, 'bird': 60.3, 'cat': 51.300000000000004, 'deer': 68.10000000000001, 'dog': 66.8, 'frog': 82.89999999999999, 'horse': 76.5, 'ship': 86.1, 'truck': 84.3}"
37,38,1.68466609443567,371.6132075339556,99.998,74.32,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 99.98, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 78.9, 'car': 88.1, 'bird': 62.0, 'cat': 52.7, 'deer': 66.4, 'dog': 66.4, 'frog': 82.5, 'horse': 77.60000000000001, 'ship': 85.2, 'truck': 83.39999999999999}"
38,39,1.8915995837378432,367.7643773853779,99.996,74.32,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 99.96000000000001, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 77.7, 'car': 87.7, 'bird': 62.7, 'cat': 53.6, 'deer': 68.60000000000001, 'dog': 63.6, 'frog': 82.8, 'horse': 76.2, 'ship': 85.9, 'truck': 84.39999999999999}"
39,40,1.7321412301826058,366.1983274370432,99.998,74.2,"{'plane': 99.98, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 78.5, 'car': 87.9, 'bird': 60.3, 'cat': 52.2, 'deer': 68.30000000000001, 'dog': 63.2, 'frog': 83.2, 'horse': 77.4, 'ship': 86.4, 'truck': 84.6}"
40,41,1.7318558439947083,363.29021902382374,99.998,74.1,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 99.98, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 77.5, 'car': 87.9, 'bird': 60.8, 'cat': 52.400000000000006, 'deer': 67.7, 'dog': 64.1, 'frog': 84.5, 'horse': 76.7, 'ship': 85.1, 'truck': 84.3}"
41,42,1.619974402281514,358.92921613156796,100.0,74.53,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 77.7, 'car': 89.5, 'bird': 61.7, 'cat': 54.0, 'deer': 68.5, 'dog': 64.7, 'frog': 81.6, 'horse': 77.4, 'ship': 85.9, 'truck': 84.3}"
42,43,1.9590803962491918,356.99488148093224,99.992,74.38,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 99.96000000000001, 'deer': 100.0, 'dog': 100.0, 'frog': 99.98, 'horse': 99.98, 'ship': 100.0, 'truck': 100.0}","{'plane': 78.9, 'car': 87.8, 'bird': 61.199999999999996, 'cat': 52.800000000000004, 'deer': 68.10000000000001, 'dog': 66.2, 'frog': 82.19999999999999, 'horse': 77.0, 'ship': 85.7, 'truck': 83.89999999999999}"
