,Epoch,Trainset Loss,Testset Loss,Trainset Accuracy,Testset Accuracy,Trainset Classwise Accuracy,Testset Classwise Accuracy
45,46,0.9774187069415348,346.6430206298828,99.998,75.99000000000001,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 99.98, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 82.6, 'car': 89.7, 'bird': 65.7, 'cat': 53.7, 'deer': 71.8, 'dog': 63.0, 'frog': 84.0, 'horse': 79.10000000000001, 'ship': 85.8, 'truck': 84.5}"
46,47,0.9280503632326145,343.5307425558567,100.0,76.05,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.5, 'car': 89.2, 'bird': 66.3, 'cat': 55.300000000000004, 'deer': 71.89999999999999, 'dog': 62.3, 'frog': 83.8, 'horse': 79.7, 'ship': 86.1, 'truck': 84.39999999999999}"
47,48,1.1259305468738603,343.0332124233246,99.996,75.81,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 99.98, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 99.98, 'truck': 100.0}","{'plane': 81.3, 'car': 89.0, 'bird': 64.9, 'cat': 53.0, 'deer': 72.8, 'dog': 63.7, 'frog': 84.0, 'horse': 79.80000000000001, 'ship': 85.9, 'truck': 83.7}"
48,49,1.0205106461799005,341.88340294361115,99.998,75.89,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 99.98, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.0, 'car': 89.60000000000001, 'bird': 65.4, 'cat': 53.800000000000004, 'deer': 72.5, 'dog': 64.3, 'frog': 83.5, 'horse': 78.0, 'ship': 87.0, 'truck': 83.8}"
49,50,0.8441049484536052,340.4650299549103,100.0,75.92999999999999,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 80.9, 'car': 88.7, 'bird': 66.2, 'cat': 53.7, 'deer': 73.8, 'dog': 63.4, 'frog': 83.6, 'horse': 77.7, 'ship': 86.9, 'truck': 84.39999999999999}"
50,51,1.0934491949592484,341.486909031868,99.996,75.84,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 99.98, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 99.98, 'truck': 100.0}","{'plane': 80.9, 'car': 88.8, 'bird': 66.0, 'cat': 52.800000000000004, 'deer': 72.7, 'dog': 62.9, 'frog': 83.8, 'horse': 78.60000000000001, 'ship': 86.9, 'truck': 85.0}"
51,52,0.8440833227941766,338.24784818291664,100.0,75.89,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 80.80000000000001, 'car': 88.8, 'bird': 65.4, 'cat': 53.800000000000004, 'deer': 72.89999999999999, 'dog': 62.9, 'frog': 84.8, 'horse': 78.7, 'ship': 86.1, 'truck': 84.7}"
52,53,0.827156735562312,334.83779260516167,100.0,76.13,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.3, 'car': 89.5, 'bird': 64.9, 'cat': 53.7, 'deer': 72.3, 'dog': 64.0, 'frog': 84.5, 'horse': 79.4, 'ship': 86.7, 'truck': 85.0}"
53,54,0.8063277036744694,333.64850026369095,100.0,76.03,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.0, 'car': 89.1, 'bird': 65.0, 'cat': 53.6, 'deer': 72.89999999999999, 'dog': 63.2, 'frog': 84.7, 'horse': 79.7, 'ship': 86.8, 'truck': 84.3}"
54,55,0.8693316291646624,331.1237723827362,99.998,76.09,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 99.98}","{'plane': 81.5, 'car': 88.4, 'bird': 65.5, 'cat': 53.800000000000004, 'deer': 72.89999999999999, 'dog': 63.6, 'frog': 84.7, 'horse': 79.0, 'ship': 86.3, 'truck': 85.2}"
55,56,0.8364517891022842,328.988528996706,100.0,76.1,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 81.6, 'car': 88.5, 'bird': 66.10000000000001, 'cat': 54.2, 'deer': 72.8, 'dog': 62.7, 'frog': 84.89999999999999, 'horse': 79.0, 'ship': 86.2, 'truck': 85.0}"
